City,Deal Name,Discount,Applicable Cards
karachi,Aga Khan Pharmacies,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Aga Khan Pharmacies,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Aga Khan Pharmacies,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,Aga Khan Heart & Lungs Diagnostic Tests,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Aga Khan Heart & Lungs Diagnostic Tests,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Aga Khan Heart & Lungs Diagnostic Tests,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,Aga Khan University Hospital,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Aga Khan University Hospital,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Aga Khan University Hospital,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,Careem,20% off on 3 Rides,"HBL World DebitCard, HBL World Elite DebitCard, + 3 More Cards"
karachi,Qatar Airways,UP TO 12% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Chatterbox Cafe,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Chatterbox Cafe,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Chatterbox Cafe,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,Liberty Books,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Liberty Books,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,The Shoe Makers & Co,15% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,The Shoe Makers & Co,10% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Shell,Up to 10% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,La Chine Pakistan,20% off,"HBL World Elite DebitCard, HBL Platinum CreditCard, + 2 More Cards"
karachi,La Chine Pakistan,15% off,"HBL Gold DebitCard, HBL Gold CreditCard"
karachi,La Chine Pakistan,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,United King,10% off,"HBL World DebitCard, HBL World Elite DebitCard, + 4 More Cards"
karachi,Emirates,10% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Almas Collection Jewelers,50% off,HBL World Elite DebitCard
karachi,Almas Collection Jewelers,25% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Almas Collection Jewelers,20% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Almas Collection Jewelers,15% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,Almas Collection Jewelers,15% off,HBL Konnect Debit Card
karachi,Master Management CIP Lounge,Free Visit for Card Holder,"HBL World Elite DebitCard, HBL Platinum CreditCard, + 4 More Cards"
karachi,Bounce,30% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Colette By Xander's,25% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Peekabear,30% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Ramada Plaza Karachi,40% off on Room Rack Rate,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Ramada Plaza Karachi,20% off on Mini Bar,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Ramada Plaza Karachi,20% off on Banquet Rental,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Adidas,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Springs Cafe,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Springs Cafe,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Hush Puppies,15% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Hush Puppies,10% off,"+ 4 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Chop Chop Wok,30% off,HBL World Elite DebitCard
karachi,Chop Chop Wok,25% off,HBL Platinum CreditCard
karachi,Chop Chop Wok,20% off,HBL World DebitCard
karachi,Chop Chop Wok,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Ramada Creek,40% off on Room Rack Rate,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Ramada Creek,20% off on Mini Bar,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Ramada Creek,20% off on Banquet Rental,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Rehmat-e-Shereen,20% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Giggle Town,30% off,"HBL World Elite DebitCard, + 7 More Cards, HBL Platinum CreditCard"
karachi,Cafe Ammos,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Cafe Ammos,15% off,"+ 4 More Cards, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Legends Arena,20% off,"HBL World DebitCard, HBL World Elite DebitCard, HBL Platinum CreditCard"
karachi,Legends Arena,15% off,"HBL Titanium DebitCard, HBL Gold DebitCard, HBL Gold CreditCard"
karachi,Legends Arena,10% off,"HBL Nisa DebitCard, HBL Green CreditCard, HBL DebitCard"
karachi,YUM by Amna Cafe,25% off,"HBL World DebitCard, HBL World Elite DebitCard"
karachi,YUM by Amna Cafe,20% off,"HBL Titanium DebitCard, HBL Platinum CreditCard"
karachi,YUM by Amna Cafe,15% off,"HBL Gold DebitCard, HBL Gold CreditCard"
